11-meterplet	straffesparksplet
alkoholbehandling	alkoholafvænning
alkoholbevilling	spiritusbevilling
alkoholholdig	alkoholisk;alkoholdig
alkoholiker	dranker;alkoholmisbruger;alkoholist
alkoholiseret	drikfældig
alkoholiseret	fuld
alkoholisk	alkoholholdig
alkoholisme	alkoholmisbrug
alkoholmisbrug	alkoholisme;spiritusmisbrug
alkoholmisbruger	alkoholiker;alkoholist
alkoholpromille	promille
alkotest	spiritusprøve
alkoteste	spiritusprøve
alkyd	alkydmaling
alkymist	guldmager
allehelgensdag	allehelgen
allehånde	piment;nellikepeber
allemande	tysk dans
allemandseje	hvermandseje
allerede	i forvejen
allerede	alt
allerede	alene;bare
allergen	allergifremkaldende
allergifremkaldende	allergen
allerhelvedes	enorm;forfærdelig
allerhøjst	maksimalt
alle tiders	fantastisk;enestående
alle vegne	overalt
alliance	forbund
alligator	Alligator
alligevel	ikke desto mindre;dog;desuagtet
alligevel	ligegodt;rigtignok
allike	Corvus monedula
allitteration	bogstavrim
allokation	allokering
allokering	allokation
all right	okay
allround	alsidig
almagt	omnipotens
almen	generel
almen	almindelig
almenbefindende	almentilstand
almenhed	offentlighed
almenmenneskelig	alment menneskelig
almentilstand	almenbefindende
almenvel	det almene vel
almindelig	normal
almindelig	typisk;normal
almindelig	almen
almindelig	udbredt;fremherskende
almindelig	generel
almindeligvis	i almindelighed;generelt
almægtig	omnipotent
almægtig	enerådende
almægtighed	almagt
aloe	Aloe
alpaka	Vicugna pacos
alpaka	alpakauld
alpeagtig	alpin
alpehue	baskerhue
alpeviol	Cyclamen
alpin	alpeagtig
alpinist	bjergbestiger
alrune	Mandragora
alsidig	varieret;mangesidig;allround
alt	altstemme
alt	verdensalt
alt	alttast
alt	allerede
altangang	svalegang
alteration	ophidselse
alterbog	agende
alter ego	andet jeg;stedfortræder
altereret	ophidset
alterlys	Opuntia cylindrica
alternation	alternering;vekslen
alternere	veksle;skifte
alternering	alternation;vekslen
altfortærende	altædende
altid	til stadighed;bestandig;stedse
altid	for altid
